durat,fail,drugs,black,married,educ
81,0,1,1,0,10
73,0,0,0,1,9
78,0,0,0,0,12
81,0,0,1,0,12
73,0,0,0,1,7
70,0,0,0,0,10
80,0,0,0,1,8
76,0,0,1,0,8
70,0,0,0,1,8
79,0,1,1,0,8
76,0,0,1,0,12
77,0,0,1,0,7
79,0,1,0,0,9
77,0,1,0,0,10
79,0,1,0,0,6
57,1,1,1,1,5
24,1,0,0,0,8
17,1,0,1,0,9
74,0,0,0,0,10
71,0,0,0,0,12
75,0,0,1,1,10
55,1,0,1,0,9
18,1,0,0,0,12
5,1,0,1,0,9
79,0,1,0,0,10
24,1,0,1,1,4
72,0,0,1,1,11
79,0,0,0,0,10
10,1,0,1,0,9
28,1,0,1,1,11
74,0,1,0,0,6
73,0,0,1,0,9
71,0,0,1,1,10
37,1,0,1,0,6
70,0,0,0,1,15
73,0,0,1,1,12
79,0,0,0,0,12
79,0,0,1,0,9
12,1,0,1,0,9
32,1,0,1,1,11
73,0,0,0,1,9
3,1,0,0,0,9
71,0,0,0,0,12
70,0,0,0,0,2
74,0,0,0,0,8
77,0,0,1,0,10
73,0,0,0,0,12
73,0,0,1,0,10
73,0,0,1,0,5
70,0,0,1,0,11
72,0,0,0,0,9
69,1,0,1,0,11
72,0,0,0,1,6
75,0,0,1,0,9
75,0,1,0,0,12
79,0,0,1,0,14
80,0,0,1,1,12
72,0,0,0,0,11
80,0,1,1,0,12
6,1,0,1,0,3
70,0,1,0,0,8
5,1,1,1,0,12
25,1,0,0,1,12
72,0,0,0,0,3
32,1,0,0,0,9
76,0,0,0,1,8
79,0,0,1,1,12
71,0,0,1,0,11
25,1,0,1,0,10
81,0,0,1,0,8
73,0,0,1,1,11
81,0,0,1,0,11
76,0,0,0,0,9
76,0,0,0,0,9
44,1,0,0,1,7
11,1,0,1,1,12
78,0,0,1,0,12
2,1,0,0,0,12
80,0,1,1,1,10
34,1,0,0,1,9
24,1,0,0,1,4
11,1,0,1,0,11
71,0,0,0,0,11
76,0,1,1,0,12
24,1,1,1,0,11
25,1,0,1,0,8
71,0,0,0,1,11
73,0,0,1,0,10
72,0,0,0,0,9
80,0,1,0,0,9
76,0,0,0,1,9
70,0,0,0,0,7
74,0,0,0,0,10
76,0,1,0,0,12
77,0,0,1,0,11
42,1,0,1,0,14
73,0,0,1,0,12
70,0,1,1,0,12
73,0,0,0,0,12
27,1,0,1,0,10
76,0,0,1,1,14
43,1,0,0,0,10
75,0,0,1,1,9
70,0,0,1,0,11
22,1,0,1,1,10
28,1,0,1,0,10
2,1,0,0,0,11
76,0,0,0,0,8
18,1,0,1,0,3
70,0,0,0,1,9
73,0,1,0,0,7
79,0,0,0,0,12
77,0,0,0,0,14
71,0,0,1,0,11
73,0,1,0,1,8
19,1,1,1,1,10
72,0,1,1,1,7
70,0,0,0,0,9
21,1,0,0,0,12
72,0,0,1,0,11
20,1,0,0,0,9
80,0,0,0,1,12
49,1,0,1,0,11
33,1,1,0,1,7
80,0,0,0,0,13
78,0,0,0,0,10
19,1,1,0,0,12
73,0,0,1,0,12
74,0,0,1,0,10
35,1,0,1,1,12
12,1,1,0,0,10
78,0,0,1,0,12
2,1,0,0,0,7
74,0,0,0,0,19
6,1,0,1,0,10
9,1,0,1,0,10
72,1,0,1,0,9
46,1,0,0,1,12
80,0,0,0,0,6
75,0,0,0,0,12
23,1,1,0,0,12
73,0,0,0,0,12
75,0,0,1,1,12
23,1,0,1,1,12
77,0,1,1,0,9
14,1,0,1,1,10
46,1,0,1,0,11
7,1,0,1,0,10
41,1,0,1,1,12
79,0,1,0,1,12
70,0,0,1,0,11
70,0,0,1,0,8
73,0,0,1,1,3
76,0,0,1,0,9
77,0,1,0,0,7
12,1,1,0,0,8
70,0,0,0,0,6
19,1,1,1,0,15
79,0,1,0,0,9
1,1,0,1,0,9
24,1,0,1,1,10
62,1,0,1,0,11
38,1,0,0,0,12
36,1,0,0,0,9
72,0,1,0,0,10
70,0,0,0,0,10
6,1,1,1,0,12
5,1,0,1,0,10
39,1,0,0,0,8
59,1,1,0,0,6
4,1,0,1,0,4
73,0,0,0,1,9
78,0,0,0,1,7
74,0,1,0,1,10
72,0,0,1,0,12
10,1,0,0,0,12
14,1,0,1,0,10
7,1,0,0,0,8
33,1,1,0,0,8
81,0,1,1,1,13
23,1,0,0,0,8
73,0,0,1,0,8
76,0,0,0,0,8
59,1,0,0,0,10
76,0,0,0,0,10
23,1,1,1,1,6
26,1,0,1,0,3
70,0,0,0,0,6
14,1,0,1,0,12
76,0,0,0,1,10
71,0,0,0,0,12
71,0,0,0,1,12
71,0,1,0,0,11
72,0,0,0,1,16
74,0,0,1,1,8
20,1,1,0,1,9
74,0,0,0,0,8
81,0,0,1,0,11
72,0,0,0,1,14
74,0,0,1,1,9
70,0,0,0,1,12
55,1,0,0,0,12
46,1,0,1,1,12
43,1,0,0,1,10
71,0,1,0,0,10
40,1,0,1,1,9
71,0,1,0,1,7
80,0,0,0,0,12
15,1,0,0,1,10
37,1,0,1,0,10
71,0,0,1,1,12
53,1,0,1,0,11
12,1,1,1,0,10
75,0,0,0,1,8
70,0,0,0,0,10
79,0,0,0,1,12
38,1,0,1,0,9
1,1,0,0,1,10
73,0,1,0,0,10
78,0,0,1,1,3
70,0,0,1,0,8
80,0,0,1,0,10
78,0,0,1,1,6
80,0,0,1,0,11
72,0,1,0,0,9
11,1,1,0,1,10
35,1,1,1,0,8
76,0,0,0,0,8
76,0,0,0,1,8
79,0,0,0,0,12
4,1,1,1,0,9
80,0,0,0,0,8
37,1,0,1,0,12
68,1,0,1,0,11
72,0,0,1,1,7
73,0,0,0,0,10
77,0,0,0,0,12
74,0,0,0,1,4
14,1,1,1,0,11
74,0,0,0,1,8
67,1,0,0,1,9
20,1,0,0,0,12
74,0,0,0,0,11
74,0,0,1,0,10
73,0,0,0,0,10
79,0,1,0,0,10
16,1,0,0,0,8
42,1,1,0,0,8
78,0,0,1,0,11
15,1,0,1,0,11
6,1,0,0,0,10
76,0,0,1,1,12
27,1,0,1,0,11
25,1,1,0,0,6
7,1,0,1,1,9
67,1,0,0,0,11
5,1,1,0,0,10
80,0,1,0,0,8
77,0,0,1,0,12
16,1,0,1,0,11
74,0,0,1,0,11
72,0,1,0,1,11
78,0,1,1,1,4
74,0,1,0,0,8
71,0,0,0,0,13
73,0,1,0,0,1
73,0,0,1,1,7
18,1,0,1,0,11
72,0,0,1,0,12
23,1,1,1,0,8
71,0,1,1,0,10
70,0,0,1,0,13
71,0,0,0,0,9
75,0,0,1,1,11
71,0,1,0,1,3
29,1,1,0,0,12
78,0,0,0,0,10
22,1,0,0,1,9
72,0,1,0,0,8
75,0,0,0,1,10
70,0,1,1,0,7
10,1,0,0,0,9
70,0,0,0,0,8
20,1,0,1,0,11
27,1,0,0,1,12
72,0,0,1,0,11
73,0,0,1,0,11
76,0,0,1,0,9
21,1,0,1,0,9
10,1,1,1,0,11
76,0,0,0,0,9
79,0,0,1,0,11
53,1,0,1,1,6
11,1,0,1,0,10
71,0,0,0,0,8
18,1,1,0,0,10
45,1,0,1,0,11
14,1,0,1,0,11
80,0,0,1,1,8
71,0,0,0,1,9
21,1,1,0,0,12
71,0,0,1,0,8
74,0,0,0,0,8
10,1,1,1,0,8
36,1,1,1,0,8
71,0,0,1,0,9
43,1,0,1,0,8
30,1,1,1,0,7
78,0,1,0,0,10
29,1,0,0,0,8
53,1,0,1,0,10
78,0,1,0,0,10
52,1,0,1,0,10
73,0,0,1,0,9
65,1,0,0,0,11
74,0,0,1,1,6
70,0,1,1,0,11
75,0,0,0,0,3
4,1,0,0,0,9
59,1,0,1,0,12
79,0,0,1,0,5
78,0,1,0,1,8
37,1,1,0,0,8
2,1,1,0,0,9
70,0,1,1,0,10
74,0,0,0,1,12
5,1,0,1,0,12
50,1,1,0,0,10
56,1,0,0,1,9
72,0,1,0,1,9
72,0,0,0,0,3
72,0,0,1,0,9
68,1,1,1,1,10
78,0,0,1,0,7
77,1,1,1,0,8
78,0,1,0,0,9
9,1,1,1,0,11
7,1,0,1,1,8
81,0,0,1,0,4
81,0,0,1,0,12
71,0,0,1,0,12
21,1,0,1,0,10
38,1,1,0,0,9
33,1,0,1,0,9
4,1,0,0,0,9
2,1,0,1,1,11
73,0,0,0,0,13
74,0,0,1,0,10
31,1,1,0,0,9
70,0,0,1,0,12
79,0,1,0,0,10
11,1,0,0,0,9
77,0,0,0,0,8
73,0,0,1,1,12
80,0,1,1,0,3
76,0,1,0,0,4
6,1,0,0,1,9
45,1,0,0,0,9
48,1,0,0,0,7
76,0,0,1,0,9
12,1,1,0,0,10
77,0,0,0,0,8
74,0,0,1,0,11
76,0,0,1,0,13
17,1,1,0,0,10
72,0,0,0,0,4
78,0,0,0,1,9
81,0,0,0,0,6
76,0,0,1,0,11
78,0,1,0,0,7
10,1,1,0,1,5
71,0,0,0,1,9
16,1,0,1,0,11
17,1,1,0,0,10
34,1,0,1,0,8
70,0,1,0,0,12
75,0,0,0,1,11
70,0,0,1,0,11
35,1,1,0,0,8
2,1,0,1,0,10
79,0,1,0,0,8
10,1,0,1,1,11
73,0,1,0,0,9
73,0,0,1,1,14
76,0,0,0,0,10
74,0,0,0,1,9
70,1,0,0,0,12
77,0,0,0,1,12
70,0,0,1,1,6
24,1,1,0,0,12
10,1,0,1,1,11
20,1,1,1,0,9
76,0,0,0,0,12
78,0,1,0,0,5
76,0,1,0,0,12
79,0,0,1,0,14
72,0,0,1,0,12
71,0,1,0,1,12
15,1,0,0,0,9
55,1,0,0,0,10
3,1,0,1,0,9
76,0,0,0,0,9
71,0,1,0,0,12
76,0,0,1,0,10
73,0,0,1,0,10
70,0,0,1,0,12
6,1,0,0,0,5
72,0,0,0,0,10
16,1,0,0,0,8
80,0,0,1,0,11
76,0,0,0,0,12
80,0,0,0,0,12
70,0,0,0,0,6
75,0,0,0,0,11
7,1,1,0,0,9
73,0,1,0,0,8
18,1,0,1,0,10
71,0,0,0,0,9
75,0,1,0,0,9
23,1,0,0,0,10
80,0,0,0,1,4
3,1,0,1,1,12
66,1,0,0,0,15
75,0,0,0,1,8
76,0,0,1,0,10
26,1,1,0,0,9
59,1,0,1,0,8
72,0,0,1,1,8
77,0,1,0,0,10
80,0,0,0,0,10
77,0,0,1,1,6
25,1,0,1,0,9
41,1,0,1,0,11
74,0,0,0,0,8
71,0,0,1,1,12
6,1,0,0,1,10
76,0,0,0,1,11
72,0,0,0,0,10
15,1,1,1,1,14
74,0,0,1,1,12
76,0,0,0,1,10
77,0,0,1,0,12
66,1,0,0,0,6
78,0,0,1,0,12
71,0,0,1,1,11
5,1,0,1,0,10
79,0,1,1,0,9
81,0,0,1,0,14
70,0,0,1,1,10
74,0,0,1,0,10
78,0,0,0,1,3
78,0,0,0,0,4
7,1,1,1,0,10
14,1,0,1,0,11
8,1,0,1,1,9
72,0,1,0,0,11
81,0,0,1,0,8
79,0,0,1,1,12
10,1,1,1,0,10
76,0,0,0,0,9
76,0,0,0,0,12
71,0,0,0,0,9
77,0,0,1,1,12
72,0,0,1,0,12
78,0,0,0,1,10
70,1,0,0,0,12
2,1,0,1,0,9
70,0,0,1,0,10
75,0,0,1,0,10
11,1,0,0,0,10
80,0,0,0,1,14
51,1,0,1,0,12
78,0,0,1,0,10
60,1,0,0,0,4
2,1,1,0,0,10
71,0,0,1,0,12
71,0,0,1,0,9
72,0,0,0,1,11
74,0,0,1,0,11
50,1,1,0,0,10
32,1,0,1,0,10
81,0,0,1,0,9
73,0,1,1,0,12
79,0,1,1,0,10
74,0,0,1,0,10
78,0,1,1,0,11
20,1,1,0,0,9
72,0,0,1,0,11
8,1,0,1,0,12
77,0,0,0,1,12
29,1,1,1,1,11
73,0,0,0,1,9
13,1,0,1,0,11
53,1,0,1,0,8
71,0,0,1,1,9
74,0,0,1,1,10
16,1,1,0,0,10
71,0,0,0,0,9
73,0,0,0,1,11
81,0,0,0,1,7
73,0,0,1,0,7
12,1,0,1,0,10
15,1,1,0,0,14
81,0,1,0,0,11
71,0,0,0,0,14
73,0,1,0,0,11
71,0,0,0,1,13
73,0,1,0,0,8
29,1,1,1,0,10
78,0,1,0,1,8
9,1,0,1,0,15
76,0,1,0,1,9
6,1,1,0,0,10
74,0,0,0,0,8
2,1,0,1,0,10
79,0,0,0,0,10
76,0,1,0,1,8
71,0,1,1,0,9
7,1,0,1,0,9
71,0,1,0,0,9
79,0,0,1,1,11
81,0,0,0,0,12
75,0,0,0,1,12
64,1,0,0,1,8
80,0,0,1,0,12
75,0,0,0,0,8
47,1,1,1,0,9
72,0,1,0,0,12
73,0,1,0,0,11
29,1,0,1,0,12
79,0,0,0,0,12
77,0,0,0,0,12
72,0,0,1,0,11
74,0,0,0,0,12
73,0,0,0,0,12
75,0,0,1,0,8
72,0,0,0,0,16
76,0,0,0,1,11
76,0,0,0,0,9
40,1,0,1,0,11
70,0,0,0,0,8
79,0,0,0,0,8
71,0,0,1,0,12
73,0,0,0,1,7
73,0,0,0,1,10
71,0,0,1,0,6
73,0,0,1,0,9
71,0,0,1,0,10
9,1,0,1,0,10
15,1,0,0,0,9
76,0,0,1,0,9
71,0,0,0,1,9
76,0,0,0,1,7
75,0,0,1,0,11
70,0,0,1,0,10
23,1,0,0,1,12
2,1,0,0,0,12
50,1,1,0,0,11
70,0,0,0,0,9
13,1,1,0,0,8
73,0,0,0,0,12
28,1,0,0,1,8
72,0,0,1,0,11
74,0,0,0,1,8
70,0,0,1,0,8
80,0,1,1,0,14
77,0,0,0,0,12
77,0,0,1,0,9
71,0,0,0,1,11
77,0,1,1,0,8
74,0,1,1,1,9
34,1,1,0,0,8
74,0,0,1,1,10
77,0,1,1,0,9
23,1,0,1,0,12
15,1,0,1,1,9
24,1,0,1,0,12
63,1,0,0,1,8
77,0,0,1,0,9
77,0,0,0,1,9
19,1,0,1,0,11
77,0,0,0,1,12
8,1,0,0,0,8
55,1,0,0,0,8
80,0,0,0,0,11
78,0,0,0,0,8
14,1,1,0,0,9
72,0,0,0,1,10
80,0,0,0,0,13
21,1,1,1,0,10
73,0,0,0,0,14
72,0,0,1,0,8
73,0,0,0,0,11
71,0,0,0,0,8
76,0,0,0,0,8
13,1,0,0,0,8
76,0,0,0,0,12
71,0,0,0,1,9
13,1,1,0,1,9
23,1,0,1,0,9
75,0,0,0,0,4
54,1,1,0,0,7
70,0,0,0,0,10
21,1,0,0,0,7
14,1,0,0,0,9
6,1,0,1,0,9
18,1,0,1,1,9
77,0,1,0,0,11
76,0,0,1,0,9
72,0,0,1,0,10
81,0,0,1,1,12
21,1,0,0,1,7
70,0,0,0,0,8
76,0,1,0,0,15
81,0,1,0,0,11
6,1,0,0,1,10
78,0,1,1,0,10
70,0,0,1,0,11
17,1,0,0,0,9
72,0,0,0,0,12
74,0,0,0,0,9
73,0,0,1,0,11
71,0,0,1,0,11
19,1,1,1,0,10
78,0,0,1,0,9
76,0,0,1,1,7
70,0,0,0,0,18
34,1,0,1,0,12
76,0,0,0,1,14
76,0,0,1,0,10
28,1,0,1,0,14
77,0,1,1,0,1
78,0,1,1,0,9
14,1,1,0,0,12
71,0,0,0,0,12
75,0,0,0,1,4
77,0,1,0,1,3
80,0,1,1,1,10
72,0,0,1,0,12
3,1,0,1,0,7
71,0,0,1,1,9
13,1,0,1,1,11
81,0,0,1,0,13
73,0,0,1,1,13
9,1,1,1,0,8
73,0,0,0,0,12
76,0,1,1,1,3
56,1,1,0,0,8
71,0,1,0,0,8
71,0,0,1,0,11
78,0,1,1,0,12
2,1,0,1,0,11
27,1,1,1,1,10
75,0,0,1,1,8
74,0,0,1,0,8
6,1,1,0,0,12
18,1,0,1,0,3
72,0,1,0,0,11
70,0,1,0,0,12
77,0,1,1,1,6
33,1,0,1,0,12
80,0,1,1,1,5
70,0,0,1,0,12
4,1,0,0,0,10
70,0,0,1,0,11
72,0,0,1,0,11
43,1,1,1,0,10
74,0,0,1,0,2
71,0,1,1,0,10
71,0,0,0,1,7
79,0,0,1,0,11
77,0,0,0,0,13
4,1,0,0,0,12
26,1,0,1,0,10
72,0,0,1,0,10
80,0,1,1,0,16
81,0,0,1,0,10
27,1,0,1,0,8
37,1,0,1,0,11
76,0,0,1,0,9
3,1,1,1,0,9
70,0,0,0,0,7
9,1,0,0,0,12
77,0,0,0,1,9
71,0,1,0,1,9
70,0,0,1,1,10
78,0,0,1,0,10
70,0,0,1,0,11
71,0,0,0,0,11
73,0,0,0,1,7
78,0,0,1,0,10
26,1,0,1,0,7
72,0,1,1,0,10
15,1,1,1,0,9
71,0,0,1,1,7
72,0,0,0,0,8
80,0,1,1,0,18
72,0,0,0,1,12
15,1,0,1,0,8
73,0,1,0,0,9
55,1,0,1,1,11
74,0,1,0,0,7
10,1,0,1,0,10
76,0,1,0,0,7
79,0,1,0,0,6
74,0,0,1,0,9
76,0,0,0,0,8
73,0,0,1,1,12
73,0,0,0,1,9
80,0,0,0,0,9
57,1,1,0,0,13
16,1,0,1,0,15
3,1,0,1,0,12
15,1,0,1,0,12
7,1,0,1,0,10
26,1,0,1,1,12
25,1,0,0,1,11
73,0,1,1,0,11
76,0,1,1,1,8
79,0,0,1,0,12
71,0,0,0,0,7
3,1,0,1,1,3
78,0,0,0,1,9
27,1,0,1,0,8
71,0,0,0,0,7
72,0,0,1,0,12
76,0,1,0,0,8
75,0,0,1,1,12
73,0,0,0,0,7
76,0,0,1,0,8
49,1,1,1,1,12
13,1,0,1,0,10
71,0,0,1,0,10
15,1,0,0,0,9
75,0,0,0,0,12
75,0,0,1,0,9
36,1,0,1,0,12
75,0,0,0,0,10
79,0,0,0,0,10
72,0,1,0,1,6
41,1,0,1,0,9
80,0,0,1,0,16
73,0,0,1,0,12
73,0,1,0,0,10
5,1,1,1,0,11
42,1,0,0,1,9
76,0,0,1,1,11
76,0,0,0,1,9
79,0,1,0,0,9
20,1,1,0,0,8
77,0,0,1,0,12
23,1,0,0,1,7
19,1,0,0,0,12
54,1,0,1,0,10
68,1,1,1,0,6
76,0,0,0,1,11
71,0,0,0,1,10
5,1,1,0,0,14
70,0,1,0,0,6
12,1,0,1,0,11
13,1,0,1,0,9
73,0,0,1,0,18
79,0,0,0,0,7
50,1,0,1,0,10
80,0,1,0,0,8
73,0,0,0,0,10
71,0,1,0,1,4
22,1,0,1,1,9
5,1,1,0,0,6
3,1,0,1,0,10
7,1,0,1,1,10
77,0,1,0,1,13
71,0,0,1,0,9
49,1,0,1,0,9
70,0,0,1,0,11
70,0,0,0,1,2
78,0,0,0,0,8
13,1,0,1,0,10
1,1,1,0,0,10
78,0,0,0,0,9
70,0,0,0,0,12
73,0,1,0,0,7
10,1,0,1,1,12
39,1,0,0,0,8
5,1,0,1,0,11
70,0,0,1,0,2
79,0,0,0,0,10
71,0,0,0,0,6
73,0,0,0,0,8
76,0,0,0,1,10
75,0,0,0,0,4
15,1,0,1,0,9
75,0,0,1,1,14
72,0,0,1,0,9
80,0,0,0,1,9
72,0,0,0,1,12
78,0,1,0,0,6
70,0,0,1,0,16
35,1,0,0,0,9
18,1,0,1,0,9
3,1,1,0,1,8
10,1,0,0,0,9
53,1,1,1,0,10
31,1,0,1,0,11
71,0,0,1,0,12
70,0,0,0,0,12
77,0,0,0,0,12
27,1,0,1,0,8
71,0,0,1,0,12
23,1,0,1,0,12
78,0,0,0,0,7
24,1,0,0,0,12
79,0,0,1,0,12
73,0,0,0,0,10
5,1,1,0,0,8
76,0,0,0,0,9
73,0,0,0,0,8
73,0,0,1,0,10
17,1,0,0,0,8
81,0,0,1,0,10
74,0,0,0,0,9
15,1,1,0,0,7
28,1,0,1,0,10
8,1,0,1,0,10
76,0,1,0,0,14
76,0,1,1,0,2
71,0,0,1,0,4
65,1,0,1,1,10
74,0,0,0,0,10
1,1,0,0,0,12
16,1,0,0,0,8
24,1,0,0,0,11
8,1,0,0,0,8
9,1,1,1,0,13
74,0,0,1,0,12
76,0,0,0,0,8
33,1,0,0,0,9
10,1,0,1,0,11
75,0,1,0,0,12
70,0,0,0,0,9
9,1,0,1,0,10
80,0,1,0,0,10
80,0,1,0,0,11
81,0,0,0,0,8
72,0,0,1,0,11
73,0,0,0,1,9
52,1,0,1,0,8
53,1,1,0,0,9
76,0,0,1,0,11
3,1,0,1,1,12
20,1,0,0,0,12
12,1,0,1,1,11
72,0,0,1,0,10
74,0,1,0,1,12
9,1,0,0,0,10
80,0,0,0,0,10
14,1,0,0,0,13
6,1,1,1,0,9
10,1,0,1,0,6
39,1,1,1,0,9
77,0,0,0,0,4
80,0,0,1,1,10
74,0,1,0,0,12
80,0,1,0,0,13
72,0,0,1,0,8
68,1,0,1,1,14
4,1,0,1,0,9
77,0,0,1,0,12
71,0,1,1,0,9
73,0,1,0,1,11
72,0,0,0,1,10
75,0,1,0,1,12
72,0,0,0,0,12
24,1,1,0,1,9
7,1,0,0,1,12
71,0,1,0,0,12
4,1,0,0,0,9
70,0,1,0,0,3
18,1,0,1,0,12
71,0,0,1,0,11
77,0,1,0,1,8
81,0,0,1,0,9
10,1,1,1,0,9
44,1,1,0,0,9
81,0,1,0,0,7
80,0,0,0,0,14
73,0,0,1,0,13
14,1,0,0,0,10
73,0,0,1,1,4
81,0,0,0,1,7
19,1,1,1,0,7
8,1,1,0,0,8
3,1,1,0,0,8
72,0,0,1,0,8
75,0,0,1,0,9
5,1,0,1,0,12
5,1,0,1,0,11
70,0,0,0,0,13
70,0,1,0,1,12
73,0,1,0,1,7
74,0,0,0,0,12
29,1,0,1,0,8
76,0,0,0,0,7
15,1,1,0,0,2
79,0,0,1,0,10
46,1,0,1,0,10
74,0,1,0,0,12
79,0,0,1,1,9
72,0,0,1,0,12
80,0,0,1,0,10
73,0,0,0,0,6
76,0,0,0,0,9
60,1,0,0,0,7
73,0,0,0,0,10
62,1,0,0,0,7
71,0,0,0,0,9
74,0,0,0,1,10
76,0,1,0,1,10
1,1,0,1,0,10
79,0,1,0,0,11
81,0,0,1,0,10
77,0,0,0,0,10
19,1,0,1,1,12
70,0,0,1,1,12
74,0,0,1,0,5
76,0,0,1,0,9
72,0,0,1,0,11
28,1,0,1,0,11
76,0,0,0,0,8
9,1,0,1,1,9
79,0,0,0,0,8
10,1,0,1,0,8
18,1,1,1,1,12
74,0,0,0,1,8
9,1,0,1,0,10
32,1,0,0,0,10
76,0,0,1,0,10
81,0,0,0,0,8
15,1,0,0,0,10
76,0,0,1,1,9
7,1,0,1,0,9
5,1,0,1,0,11
8,1,0,1,0,10
63,1,0,1,0,12
1,1,0,1,0,12
72,0,0,1,0,12
80,0,0,0,1,11
70,0,0,1,0,11
17,1,0,1,0,10
80,0,1,0,0,9
73,0,0,1,0,10
10,1,0,1,0,12
72,0,0,0,1,10
78,0,0,0,1,11
73,0,1,1,1,7
10,1,0,1,0,12
44,1,0,1,0,12
75,0,0,0,0,9
79,0,0,1,1,11
81,0,0,0,1,12
5,1,0,1,0,15
70,0,1,0,0,9
77,0,1,0,0,10
80,0,0,1,0,10
13,1,0,1,0,11
79,0,0,0,0,9
9,1,0,1,0,9
71,0,0,1,0,11
18,1,0,1,0,11
80,0,0,0,0,10
11,1,0,1,0,11
15,1,0,0,0,9
81,0,1,0,0,13
70,0,0,0,0,11
77,0,0,0,0,12
70,0,0,1,0,10
72,0,0,0,1,10
23,1,1,0,0,9
78,0,0,0,0,12
22,1,0,1,0,11
72,0,0,1,0,12
25,1,0,1,0,10
77,0,0,0,1,7
78,0,0,1,0,6
79,0,0,1,0,11
24,1,1,1,1,1
27,1,0,0,0,8
80,0,0,0,0,11
73,0,0,1,0,11
81,0,0,1,0,4
71,0,0,0,0,10
71,0,0,1,0,11
14,1,1,0,0,12
27,1,0,1,0,8
